cd_localidade;nm_localidade;cd_setor;cd_sit;nm_sit;cd_uf;nm_uf;sigla_uf;cd_mun;nm_mun;cd_dist;nm_dist;cd_subdist;nm_subdist;cagece_sistema_de_abastecimento;lat(y);long(x)
"23001500500005300";Carro Atolado;"230015005000053";"8";Área Rural (exclusive aglomerados);"23";Ceará;CE;"2300150";Acarape;"230015005";Acarape;"23001500500";;SISTEMA INTEGRADO DE REDENÇÃO;"-4.275044";"-38.683791"
"23001500500003700";Cantagalo;"230015005000037";"5";Povoado;"23";Ceará;CE;"2300150";Acarape;"230015005";Acarape;"23001500500";;SISTEMA INTEGRADO DE REDENÇÃO;"-4.268603336398285";"-38.68629794569886"
"23012081500000800";Capivara;"230120815000008";"5";Povoado;"23";Ceará;CE;"2301208";Aracoiaba;"230120815";Ideal;"23012081500";;SI OCARA;"-4.459443382493719";"-38.65170020752214"
"23012080500002200";Baixio;"230120805000022";"5";Povoado;"23";Ceará;CE;"2301208";Aracoiaba;"230120805";Aracoiaba;"23012080500";;SISTEMA INTEGRADO DE ARACOIABA;"-4.393239761760646";"-38.77794538597122"
"23012080500000800";Encosta;"230120805000008";"5";Povoado;"23";Ceará;CE;"2301208";Aracoiaba;"230120805";Aracoiaba;"23012080500";;SISTEMA INTEGRADO DE ARACOIABA;"-4.377128578188164";"-38.778810067706644"
"23012080500002400";Oiticica;"230120805000024";"5";Povoado;"23";Ceará;CE;"2301208";Aracoiaba;"230120805";Aracoiaba;"23012080500";;SISTEMA INTEGRADO DE ARACOIABA;"-4.353362448490583";"-38.792298395155065"
"23012080500002300";Batimbal;"230120805000023";"5";Povoado;"23";Ceará;CE;"2301208";Aracoiaba;"230120805";Aracoiaba;"23012080500";;SISTEMA INTEGRADO DE ARACOIABA;"-4.381267239289253";"-38.83223801657181"
"23065041000000500";Bico da Arara;"230650410000005";"8";Área Rural (exclusive aglomerados);"23";Ceará;CE;"2306504";Itapiúna;"230650410";Caio Prado;"23065041000";;SI ITAPIÚNA;"-4.629346906682336";"-38.927223721206126"
"23065041000000700";Barra Nova;"230650410000007";"7";Lugarejo;"23";Ceará;CE;"2306504";Itapiúna;"230650410";Caio Prado;"23065041000";;SI ITAPIÚNA;"-4.608757388882207";"-38.919815713831206"
"23062560500001700";Carapió;"230625605000017";"1";Área Urbana de Alta Densidade de Edificações;"23";Ceará;CE;"2306256";Itaitinga;"230625605";Itaitinga;"23062560500";;;"-3.96690758226257";"-38.555539672681505"
"23077002600000204";Cajazeiras;"230770026000002";"8";Área Rural (exclusive aglomerados);"23";Ceará;CE;"2307700";Maranguape;"230770026";Ladeira Grande;"23077002600";;SAA SAPUPARA;"-3.9962158657760263";"-38.706515219242824"
"23077002600000400";Cacimbão;"230770026000004";"8";Área Rural (exclusive aglomerados);"23";Ceará;CE;"2307700";Maranguape;"230770026";Ladeira Grande;"23077002600";;SAA SAPUPARA;"-3.9852354661606144";"-38.72591836578508"
"23077003300000200";Trapiá;"230770033000002";"8";Área Rural (exclusive aglomerados);"23";Ceará;CE;"2307700";Maranguape;"230770033";Penedo;"23077003300";;SAA SAPUPARA;"-3.9685068923565114";"-38.76643291909668"
"23062560500008300";Lagoa de Dentro;"230625605000083";"2";Área Urbana de Baixa Densidade de Edificações;"23";Ceará;CE;"2306256";Itaitinga;"230625605";Itaitinga;"23062560500";;ETA Itaitinga;"-3.9956867837572356";"-38.57220950969969"
"23053321500000700";Antônio Pereira;"230533215000007";"5";Povoado;"23";Ceará;CE;"2305332";Ibicuitinga;"230533215";Canindezinho;"23053321500";;SI IBICUITINGA;"-5.009311587095249";"-38.510536143509235"
"23053323000000500";Currais;"230533230000005";"5";Povoado;"23";Ceará;CE;"2305332";Ibicuitinga;"230533230";Viçosa;"23053323000";;SI IBICUITINGA;"-5.001178915094472";"-38.56834358954871"
